imageFile,corrAns,sameOrDiff,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions.started,background.started,startKey.started,instructionstxt.started,Instructions.stopped,trial.started,background_2.started,faces.started,resp.started,trial_counter.started,trial.stopped,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,feedback.started,background_3.started,textbox.started,feedback.stopped,background_3.stopped,textbox.stopped,thanks.started,background_4.started,endmsg.started,session,participant,date,expName,expVersion,psychopyVersion,frameRate,expStart,
different/049_218_L.jpg,right,different,11,11,0,right,1,12.92151450000165,None,0,11,11,23,139.27030970000123,,,,,,,,139.257473499998,139.27030970000123,139.27030970000123,139.27030970000123,139.27030970000123,152.19748020000043,right,1,12.92151450000165,None,152.19996489999903,152.21016819999932,152.21016819999932,153.19975069999782,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
same/085_C2_DV.jpg,left,same,12,12,0,right,0,6.924397899998439,None,0,12,12,7,153.26430369999798,,,,,,,,153.2515194000007,153.26430369999798,153.26430369999798,153.26430369999798,153.26430369999798,160.19603410000127,right,0,6.924397899998439,None,160.1992567999987,160.2115343000005,160.2115343000005,161.2014405000009,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
different/296_235_L.jpg,right,different,13,13,0,left,0,9.072368599998299,None,0,13,13,38,161.26073950000136,,,,,,,,161.24612849999903,161.26073950000136,161.26073950000136,161.26073950000136,161.26073950000136,170.34418540000115,left,0,9.072368599998299,None,170.34582840000076,170.35337179999988,170.35337179999988,171.34609590000036,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
same/115_C2_DV.jpg,left,same,14,14,0,right,0,11.600910100001784,None,0,14,14,11,171.41907960000026,,,,,,,,171.4044842000003,171.41907960000026,171.41907960000026,171.41907960000026,171.41907960000026,183.02857569999833,right,0,11.600910100001784,None,183.03087349999987,183.04223400000046,183.04223400000046,184.02724509999825,184.06711659999928,184.06711659999928,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
same/069_C2_DV.jpg,left,same,15,15,0,left,1,4.850621800000226,None,0,15,15,3,184.06711659999928,,,,,,,,184.05623800000103,184.06711659999928,184.06711659999928,184.06711659999928,184.06711659999928,188.92136209999808,left,1,4.850621800000226,None,188.92389679999906,188.93377859999964,188.93377859999964,189.92364269999962,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
same/136_C2_DV.jpg,left,same,16,16,0,left,1,12.473788700001023,None,0,16,16,14,189.98780270000134,,,,,,,,189.97408050000013,189.98780270000134,189.98780270000134,189.98780270000134,189.98780270000134,202.4750333000011,left,1,12.473788700001023,None,202.4779720000006,202.48774889999913,202.48774889999913,203.47722839999915,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
same/020_C2_DV.jpg,left,same,17,17,0,left,1,5.881300900000497,None,0,17,17,0,203.53311459999895,,,,,,,,203.52193709999847,203.53311459999895,203.53311459999895,203.53311459999895,203.53311459999895,209.42281250000087,left,1,5.881300900000497,None,209.4249837999996,209.43353379999826,209.43353379999826,210.421016100001,210.48071440000058,210.48071440000058,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
same/168_C2_DV.jpg,left,same,18,18,0,left,1,10.618182299996988,None,0,18,18,16,210.48071440000058,,,,,,,,210.4702006999978,210.48071440000058,210.48071440000058,210.48071440000058,210.48071440000058,221.10628789999828,left,1,10.618182299996988,None,221.10880349999934,221.1193347999979,221.1193347999979,222.11020009999993,,,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
different/102_224_R.jpg,right,different,19,19,0,right,1,4.978328799999872,None,0,19,19,28,222.1772314000009,,,,,,,,222.16162339999937,222.1772314000009,222.1772314000009,222.1772314000009,222.1772314000009,227.16690999999992,right,1,4.978328799999872,None,227.1685518000013,227.17607359999965,227.17607359999965,228.16460609999922,228.19976959999985,228.19976959999985,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
different/092_283_L.jpg,right,different,20,20,0,right,1,7.011418900001445,None,0,20,20,27,228.19976959999985,,,,,,,,228.1914093000014,228.19976959999985,228.19976959999985,228.19976959999985,228.19976959999985,235.22351179999896,right,1,7.011418900001445,None,235.22640730000057,235.2373731000007,235.2373731000007,236.22219539999787,236.27920150000136,236.27920150000136,,,,001,,2026-06-22_18h53.27.734,GFMT_short,,2026.1.3,136.01759524104776,2026-06-22 18h53.28.094290 +0530,
